iter	RMSE
0	13.9185482
1	13.06563977
2	12.27022491
3	11.53037562
4	10.893852
5	10.34361682
6	9.838709139
7	9.371418239
8	8.959352039
9	8.554755117
10	8.189512503
11	7.869525121
12	7.619746975
13	7.344783771
14	7.111740235
15	6.915734846
16	6.722507834
17	6.566079257
18	6.440215131
19	6.312482358
20	6.204529609
21	6.110041781
22	6.009099311
23	5.930240812
24	5.855881611
25	5.785247607
26	5.727740572
27	5.676505982
28	5.627924129
29	5.584626023
30	5.545358278
31	5.496959153
32	5.465146893
33	5.436381871
34	5.401200695
35	5.363943679
36	5.340007837
37	5.323104256
38	5.30466554
39	5.281592957
40	5.262788281
41	5.24711223
42	5.228823649
43	5.220251013
44	5.204487616
45	5.182334319
46	5.163748193
47	5.150699128
48	5.131395915
49	5.109852782
50	5.096351043
51	5.089197501
52	5.071684867
53	5.061357623
54	5.051760549
55	5.038304486
56	5.03141227
57	5.016930866
58	5.010032529
59	4.992217581
60	4.976301471
61	4.962922115
62	4.949854406
63	4.934241626
64	4.924245454
65	4.917715122
66	4.907378288
67	4.900107164
68	4.892616855
69	4.878321952
70	4.867001135
71	4.858768401
72	4.839672808
73	4.827392486
74	4.819833825
75	4.809788039
76	4.802515395
77	4.789060658
78	4.7752788
79	4.770982494
80	4.760963043
81	4.739267102
82	4.731972268
83	4.727003486
84	4.712469269
85	4.702378748
86	4.691033794
87	4.682408573
88	4.669132506
89	4.659753109
90	4.652693282
91	4.643508664
92	4.633157455
93	4.623541154
94	4.613692561
95	4.597480156
96	4.581548991
97	4.572324599
98	4.554569395
99	4.548266602
