iter	Passed	Remaining
0	1	131
1	2	140
2	5	166
3	6	165
4	8	155
5	9	147
6	12	167
7	13	153
8	14	142
9	14	133
10	15	125
11	16	119
12	16	113
13	17	108
14	18	104
15	19	100
16	19	96
17	20	93
18	21	90
19	22	88
20	23	86
21	24	85
22	24	83
23	25	81
24	26	79
25	27	77
26	27	75
27	28	73
28	29	71
29	30	70
30	30	68
31	31	67
32	32	65
33	32	64
34	33	62
35	34	62
36	36	61
37	36	60
38	37	59
39	38	57
40	39	56
41	40	55
42	40	54
43	41	52
44	42	51
45	42	50
46	43	49
47	44	47
48	45	46
49	45	45
50	46	45
51	47	44
52	48	42
53	49	41
54	50	41
55	51	40
56	51	39
57	52	38
58	53	37
59	54	36
60	54	35
61	55	34
62	56	33
63	57	32
64	57	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	68	18
79	69	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	86	0
